City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
KALOL,0,1987.26,0,0,0,1505,0
TIRUNELVELI,0,1985.13,0,0,0,1008,0
MOGA,0,1974.57,0,0,0,625,0
GANGAWATI,0,1956.84,0,0,0,598,0
DHARMAVARAM,0,1951.68,0,0,0,1113,0
RAMPUR,0,1934.46,0,0,0,543,0
DINDIGUL,0,1934.16,0,0,0,1221,0
MACHILIPATNAM,0,1922.99,0,0,0,1291,0
BAGAHA,0,1909.12,0,0,0,367,0
DIBRUGARH,0,1899.7,0,0,0,798,0
ERODE,0,1897.13,0,0,2857,1468,0
BOTAD,0,1888.36,0,0,0,1308,0
AIZAWL,0,1881.44,0,0,0,0,1138
JEHANABAD,0,1879.87,0,0,0,774,0
CHATRA,0,1859.71,0,3157,2748,0,0
GUDIVADA,0,1855.9,0,0,0,1090,0
GANGTOK,0,1812.01,0,0,2601,1414,1565
Vijayapura (Bijapur),0,1808.42,0,3327,0,760,0
ELURU,0,1782.38,0,0,0,1283,0
KOZHIKODE,0,1771.87,0,0,0,887,1107
TIRUPPUR,0,1754.98,0,0,0,1326,0
AMBUR,0,1752.28,0,0,0,871,0
RAJAPALAYAM,0,1745.4,0,0,0,1186,0
GUWAHATI,0,1736.12,0,0,0,1169,1041
BELLARY,0,1724.52,0,0,0,827,0
KISHANGANJ,0,1701.08,0,0,0,883,0
IMPHAL,0,1680.64,0,0,0,1192,1441
BISHRAMPUR,0,1673.61,0,3524,0,0,0
SHILLONG,0,1654.45,0,0,0,839,1012
SEONI,0,1650.23,0,0,0,1077,0
TADEPALLIGUDEM,0,1636.44,0,0,0,1250,0
MUNGER,0,1611.21,0,0,0,502,0
KATIHAR,0,1609.23,0,0,0,383,0
AGARTALA,0,1596.93,0,0,0,806,1222
KANCHEEPURAM,0,1540.05,0,0,0,1182,0
HOSPET (CMC),0,1472.94,0,0,0,752,0
NAGAON,0,1442.94,0,0,0,1086,0
PALLAVARAM,0,1423.18,0,0,0,1091,0
BHAGALPUR,0,1409.57,0,0,0,841,0
RAJMAHAL,0,1382.43,0,3132,0,0,0
KOLLAM,0,1376.41,0,0,0,629,0
SASARAM,0,1265.5,0,0,0,834,0
SIWAN,0,1256.03,0,0,0,610,0
THANJAVUR,0,1101.93,0,0,0,1003,0
KOHIMA,0,1098.08,0,0,0,970,893
ANANTNAG,0,827.69,0,0,0,1003,0
ITANAGAR,0,729.73,0,0,0,953,639
Amdavad,0,0,0,4137,0,0,0
Amrava,0,0,0,3042,0,0,0
Badrava,0,0,0,3486,0,0,0
Balrampur,0,0,0,3313,0,0,0
Bhilai Charoda,0,0,0,3424,0,0,0
Chhura,0,0,0,3284,0,0,0
Chhurikala,0,0,0,3203,0,0,0
Chikhalakasa,0,0,0,3296,0,0,0
Dungarpur,0,0,0,3787,0,0,0
Gondia,0,0,0,0,2673,705,0
Ichalkaranji,0,0,0,0,2659,1133,0
Jashpur Nagar,0,0,0,3435,2948,0,0
Jhagrakhand,0,0,0,3146,0,0,0
Kawardha,0,0,0,3223,0,0,0
Kunkuri,0,0,0,3228,0,0,0
Magarlod,0,0,0,3161,0,0,0
Malkapur,0,0,0,3771,2981,0,0
Mauda,0,0,0,3548,0,0,0
Narharpur,0,0,0,3540,2775,0,0
Pa ala,0,0,0,3054,0,0,0
Pakur,0,0,0,3373,2853,0,0
Pali,0,0,0,3288,0,1029,0
Phusro,0,0,0,3160,2888,0,0
Piriyapatna,0,0,0,3463,2838,0,0
Rajgarh,0,0,0,3460,0,0,0
Sahaspur-Lohara,0,0,0,3398,0,0,0
Saraipali,0,0,0,3276,2951,0,0
Siddipet,0,0,0,3170,3060,1461,0
Sitapur,0,0,0,3191,0,526,0
Tifra,0,0,0,3133,2843,0,0
Tirupa,0,0,0,4025,0,0,0
Udaipur,0,0,0,0,2623,764,0
