City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
OMKARESHWAR,0,4320.24,4436.16,0,0,1489,0
KATNI,0,5219.06,4405.82,2872,0,0,0
NOIDA,0,6332.2,4403.22,0,0,0,0
BHIWANDI NIZAMPUR,0,3551.79,4396.12,2972,2595,571,0
JAMNER,0,4745.49,4392.87,0,2827,0,0
SHIRUR,0,5216.59,4388.81,3140,0,0,0
KAWARDHA (M),0,5236.53,4379.51,0,0,0,0
Jhansi,0,0,4365.01,3086,2805,1072,0
SANGAMNER,0,5617.52,4355.07,3282,0,0,0
JAMNAGAR,0,4855.86,4355.02,2996,0,1503,0
MAHADULA,0,5151.83,4341.99,0,0,0,0
PANCHGANI,0,6396.46,4317.98,3678,3184,0,0
DEWAS,0,5634.37,4310.08,3968,2723,1386,0
Aligarh,0,0,4309.19,0,0,1117,0
VENGURLA,0,4983.92,4308.86,3347,2930,0,0
RATLAM,0,5327.55,4298.72,3116,2712,1422,0
SHIRPUR- WARWADE,0,4953.14,4294.67,3316,0,0,0
SARAGAON (NP),0,4647.24,4293.21,0,0,0,0
RAMTEK,0,3731.31,4286.59,0,0,0,0
PANDHARPUR,0,4917.11,4281.43,3562,0,0,0
WADI,0,4929.29,4275.76,0,0,0,0
DOUNDAICHA WARWADE,0,4653.32,4275.73,0,0,0,0
KOLHAPUR,0,4094.29,4274.34,3803,2686,1048,0
VAIJAPUR,0,5442.02,4259.82,3400,2916,0,0
PEN,0,5377.43,4235.64,3263,0,0,0
GEORAI,0,4151.13,4233.23,0,2801,0,0
TALALA,0,3688.47,4223.14,0,0,0,0
JUNNAR,0,5435.85,4222.82,3609,0,0,0
TALEGAON DABHADE,0,4255.34,4218.97,3220,0,0,0
RAHIMATPUR,0,4548.25,4215.81,3440,2748,0,0
JAGDALPUR,0,5156.86,4213.39,3510,0,922,0
BHILAI NAGAR,0,5500.18,4212.41,3929,2715,1407,0
VARANGAON,0,3214.46,4198.57,0,2763,0,0
ROHTAK,0,5143.17,4180.55,3083,2614,800,0
PIPARIYA (NP),0,4319.99,4179.3,0,0,0,0
PAITHAN,0,4020.79,4167.6,0,2871,0,0
BARAMKELA (NP),0,4737.22,4167.53,0,0,0,0
SARIYA (NP),0,4197.05,4166.87,0,0,0,0
SANGLI,0,4076.96,4163.41,0,0,0,0
GANGAGHAT (NPP),0,2732.51,4161.12,0,0,0,0
AMRAVATI,0,4252.57,4160.24,0,0,922,0
BADRAVATI,0,5479.15,4159.69,0,0,0,0
AMALNER,0,5268.84,4159.42,0,0,0,0
BAGASRA,0,2466.61,4159.25,0,0,0,0
BARSHI,0,5655.06,4153.39,3198,2640,813,0
KANTHAPHOD,0,4158.61,4152.98,0,0,0,0
MATHURA-Vrindavan (NN),0,0,4150.95,0,0,0,0
AHMEDANAGAR,0,5335.3,4147.62,0,0,0,0
PUSAUR (NP),0,4669.08,4147.2,0,0,0,0
SAILU,0,5230.67,4145.59,3187,0,0,0
BASTAR (NP),0,5170.85,4133.97,0,0,0,0
NANDURBAR,0,4070.77,4124.63,0,0,1037,0
PANDARIYA,0,4690.32,4111.69,0,2733,0,0
BISHRAMPUR (NP),0,5757.88,4099.33,0,0,0,0
WARORA,0,4892.92,4092.58,0,0,0,0
KOTBA (NP),0,3776.07,4081.38,0,0,0,0
SURAJPUR (M),0,5155.67,4076.1,0,0,0,0
HINGOLI,0,5139.06,4071.45,3457,2792,0,0
MALKAPUR_K,0,4985.13,4068.08,0,0,0,0
Bhatgaon (NP),0,0,4059.32,0,0,0,0
DHAMTARI (M),0,4494.38,4058.35,0,0,0,0
KHOPOLI,0,4961.88,4057.95,3471,0,0,0
